순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율,,,,,,,,
1,2022-10-05,07J34,한국투자MySuper알아서성장형증권자투자신탁(혼합-재간접형)(모),재간접,0.06,"1,000.06",0.06,"1,000.06",0,0,0,0,0,0,0,"2,700,000,000","2,700,000,000","2,700,153,122",0,0,0.6,"1,000.06","16,200,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
2,2022-10-05,07J41,한국투자MySuper알아서안정형증권자투자신탁(채권혼합-재간접형)(모),재간접,0.06,"1,000.06",0.06,"1,000.06",0,0,0,0,0,0,0,"2,700,000,000","2,700,000,000","2,700,153,123",0,0,0.6,"1,000.06","16,200,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
3,2022-10-05,07J48,한국투자MySuper수익추구증권모투자신탁(혼합-재간접형),재간접,0.06,"1,000.06",0.06,"1,000.06",0,0,0,0,0,0,0,"2,415,420,000","2,415,420,000","2,415,556,984",0,0,100,"1,000.06","2,415,420,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
4,2022-10-05,07J49,한국투자MySuper인컴추구증권모투자신탁(채권혼합-재간접형),재간접,0.06,"1,000.06",0.06,"1,000.06",0,0,0,0,0,0,0,"2,952,180,000","2,952,180,000","2,952,347,425",0,0,100,"1,000.06","2,952,180,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
5,2022-10-05,07J66,한국투자TDF알아서ETF포커스2030증권투자신탁(혼합-재간접형)(모),재간접,0.06,"1,000.06",0.06,"1,000.06",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","3,000,170,136",0,0,100,"1,000.06","3,000,000,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
6,2022-10-05,07J71,한국투자TDF알아서ETF포커스2035증권투자신탁(혼합-재간접형)(모),재간접,0.06,"1,000.06",0.06,"1,000.06",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","3,000,170,136",0,0,100,"1,000.06","3,000,000,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
7,2022-10-05,07J76,한국투자TDF알아서ETF포커스2040증권투자신탁(혼합-재간접형)(모),재간접,0.06,"1,000.06",0.06,"1,000.06",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","3,000,170,136",0,0,100,"1,000.06","3,000,000,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
8,2022-10-05,07J81,한국투자TDF알아서ETF포커스2045증권투자신탁(혼합-재간접형)(모),재간접,0.06,"1,000.06",0.06,"1,000.06",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","3,000,170,136",0,0,100,"1,000.06","3,000,000,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
9,2022-10-05,07J86,한국투자TDF알아서ETF포커스2050증권투자신탁(혼합-재간접형)(모),재간접,0.06,"1,000.06",0.06,"1,000.06",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","3,000,170,136",0,0,100,"1,000.06","3,000,000,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
