순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율
"1","2023-12-02","1MP30","한국투자TDF알아서ETF포커스2030MP","주식형","0.00","1,101.54","0.00","1,099.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,101,543,919,857","0.00","56.85","0.00","1,101.543919857","8,837,853","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"2","2023-12-02","1MP35","한국투자TDF알아서ETF포커스2035MP","주식형","0.00","1,105.27","0.00","1,103.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,105,269,507,255","0.00","49.57","0.00","1,105.269507255","5,085,357","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"3","2023-12-02","1MP40","한국투자TDF알아서ETF포커스2040MP","주식형","0.00","1,108.39","0.00","1,106.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,108,392,964,045","0.00","43.37","0.00","1,108.392964045","9,826,139","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"4","2023-12-02","1MP45","한국투자TDF알아서ETF포커스2045MP","주식형","0.00","1,111.28","0.00","1,109.81","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,111,279,587,304","0.00","37.80","0.00","1,111.279587304","6,272,070","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"5","2023-12-02","1MP50","한국투자TDF알아서ETF포커스2050MP","주식형","0.00","1,114.14","0.00","1,112.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,114,142,692,472","0.00","32.61","0.00","1,114.1426924720001","4,457,263","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"6","2023-12-02","1MP55","한국투자TDF알아서ETF포커스2055MP","주식형","0.00","1,116.60","0.00","1,115.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,116,596,416,494","0.00","28.38","0.00","1,116.5964164939999","10,834,321","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"7","2023-12-02","1MP60","한국투자TDF알아서ETF포커스2060MP","주식형","0.00","1,118.50","0.00","1,117.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,118,500,707,757","0.00","25.21","0.00","1,118.500707757","2,390,680","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"8","2023-12-02","2MP24","한국투자TIF알아서평생소득ETF포커스MP","주식형","0.00","1,093.83","0.00","1,091.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,093,833,300,083","0.00","67.66","0.06","1,093.833300083","576,424,563","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"9","2023-12-02","3MP01","한국투자MYSUPER알아서 안정형MP","주식형","0.03","1,046.89","0.02","1,047.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,046,885,291,618","0.78","53.28","21.30","1,046.885291618","281,324,982,726","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"10","2023-12-02","3MP02","한국투자MYSUPER알아서 성장형MP","주식형","0.02","1,080.23","0.02","1,079.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,080,229,667,606","3.01","15.45","20.53","1,080.229667606","266,703,994,185","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"11","2023-12-03","1MP30","한국투자TDF알아서ETF포커스2030MP","주식형","0.00","1,101.54","0.00","1,099.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,101,543,920,581","0.00","56.85","0.00","1,101.543920581","8,837,853","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"12","2023-12-03","1MP35","한국투자TDF알아서ETF포커스2035MP","주식형","0.00","1,105.27","0.00","1,103.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,105,269,507,671","0.00","49.57","0.00","1,105.269507671","5,085,357","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"13","2023-12-03","1MP40","한국투자TDF알아서ETF포커스2040MP","주식형","0.00","1,108.39","0.00","1,106.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,108,392,964,850","0.00","43.37","0.00","1,108.39296485","9,826,139","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"14","2023-12-03","1MP45","한국투자TDF알아서ETF포커스2045MP","주식형","0.00","1,111.28","0.00","1,109.81","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,111,279,587,818","0.00","37.80","0.00","1,111.279587818","6,272,070","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"15","2023-12-03","1MP50","한국투자TDF알아서ETF포커스2050MP","주식형","0.00","1,114.14","0.00","1,112.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,114,142,692,837","0.00","32.61","0.00","1,114.1426928370001","4,457,263","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"16","2023-12-03","1MP55","한국투자TDF알아서ETF포커스2055MP","주식형","0.00","1,116.60","0.00","1,115.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,116,596,417,381","0.00","28.38","0.00","1,116.5964173809998","10,834,321","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"17","2023-12-03","1MP60","한국투자TDF알아서ETF포커스2060MP","주식형","0.00","1,118.50","0.00","1,117.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,118,500,707,953","0.00","25.21","0.00","1,118.500707953","2,390,680","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"18","2023-12-03","2MP24","한국투자TIF알아서평생소득ETF포커스MP","주식형","0.00","1,093.83","0.00","1,091.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,093,833,347,303","0.00","67.66","0.06","1,093.833347303","576,424,563","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"19","2023-12-03","3MP01","한국투자MYSUPER알아서 안정형MP","주식형","0.02","1,046.91","0.02","1,047.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,046,908,337,144","0.78","53.28","21.30","1,046.9083371440001","281,324,982,726","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"20","2023-12-03","3MP02","한국투자MYSUPER알아서 성장형MP","주식형","0.02","1,080.25","0.02","1,079.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,080,251,515,412","3.01","15.45","20.53","1,080.251515412","266,703,994,185","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"21","2023-12-04","1MP30","한국투자TDF알아서ETF포커스2030MP","주식형","4.22","1,105.76","2.56","1,102.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,105,764,890,733","0.00","57.05","0.00","1,105.764890733","8,837,853","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"22","2023-12-04","1MP35","한국투자TDF알아서ETF포커스2035MP","주식형","4.35","1,109.62","2.78","1,106.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,109,617,849,718","0.00","49.75","0.00","1,109.6178497180001","5,085,357","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"23","2023-12-04","1MP40","한국투자TDF알아서ETF포커스2040MP","주식형","4.45","1,112.84","2.98","1,109.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,112,840,476,676","0.00","43.54","0.00","1,112.840476676","9,826,139","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"24","2023-12-04","1MP45","한국투자TDF알아서ETF포커스2045MP","주식형","4.53","1,115.81","3.16","1,112.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,115,810,499,724","0.00","37.96","0.00","1,115.810499724","6,272,070","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"25","2023-12-04","1MP50","한국투자TDF알아서ETF포커스2050MP","주식형","4.61","1,118.75","3.36","1,116.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,118,745,788,299","0.00","32.75","0.00","1,118.745788299","4,457,263","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"26","2023-12-04","1MP55","한국투자TDF알아서ETF포커스2055MP","주식형","4.65","1,121.25","3.50","1,118.87","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,121,254,403,101","0.00","28.51","0.00","1,121.254403101","10,834,321","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"27","2023-12-04","1MP60","한국투자TDF알아서ETF포커스2060MP","주식형","4.70","1,123.20","3.61","1,120.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,123,201,841,427","0.00","25.33","0.00","1,123.201841427","2,390,680","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"28","2023-12-04","2MP24","한국투자TIF알아서평생소득ETF포커스MP","주식형","3.99","1,097.82","2.22","1,094.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,097,818,848,687","0.00","67.88","0.06","1,097.818848687","576,424,563","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"29","2023-12-04","3MP01","한국투자MYSUPER알아서 안정형MP","주식형","6.31","1,053.22","1.83","1,048.85","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,053,215,709,147","0.78","53.58","21.29","1,053.215709147","281,324,982,726","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"30","2023-12-04","3MP02","한국투자MYSUPER알아서 성장형MP","주식형","7.52","1,087.77","4.83","1,084.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,087,768,493,347","3.02","15.54","20.53","1,087.768493347","266,703,994,185","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"31","2023-12-05","1MP30","한국투자TDF알아서ETF포커스2030MP","주식형","0.40","1,106.16","1.52","1,103.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,106,159,259,194","0.00","57.13","0.00","1,106.159259194","8,837,853","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"32","2023-12-05","1MP35","한국투자TDF알아서ETF포커스2035MP","주식형","0.28","1,109.90","1.35","1,107.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,109,899,072,046","0.00","49.83","0.00","1,109.8990720460001","5,085,357","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"33","2023-12-05","1MP40","한국투자TDF알아서ETF포커스2040MP","주식형","0.18","1,113.02","1.18","1,110.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,113,019,919,906","0.00","43.61","0.00","1,113.019919906","9,826,139","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"34","2023-12-05","1MP45","한국투자TDF알아서ETF포커스2045MP","주식형","0.08","1,115.89","1.02","1,113.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,115,891,650,276","0.00","38.02","0.00","1,115.891650276","6,272,070","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"35","2023-12-05","1MP50","한국투자TDF알아서ETF포커스2050MP","주식형","-0.02","1,118.73","0.84","1,117.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,118,726,797,272","0.00","32.81","0.00","1,118.726797272","4,457,263","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"36","2023-12-05","1MP55","한국투자TDF알아서ETF포커스2055MP","주식형","-0.10","1,121.15","0.70","1,119.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,121,151,115,269","0.00","28.56","0.00","1,121.151115269","10,834,321","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"37","2023-12-05","1MP60","한국투자TDF알아서ETF포커스2060MP","주식형","-0.16","1,123.04","0.59","1,121.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,123,036,172,253","0.00","25.38","0.00","1,123.036172253","2,390,680","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"38","2023-12-05","2MP24","한국투자TIF알아서평생소득ETF포커스MP","주식형","0.53","1,098.35","1.72","1,095.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,098,353,395,887","0.00","67.97","0.06","1,098.353395887","576,424,563","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
