순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율,,,,,,,,
1,2022-10-05,1MP30,한국투자TDF알아서ETF포커스2030MP,주식형,8.42,991.13,12.11,991.11,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","991,127,034,927",0,51.96,0.01,991.1270349,"113,430,330",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
2,2022-10-05,1MP35,한국투자TDF알아서ETF포커스2035MP,주식형,9.59,991.03,13.02,991.04,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","991,034,294,740",0,45.43,0.01,991.0342947,"113,484,933",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
3,2022-10-05,1MP40,한국투자TDF알아서ETF포커스2040MP,주식형,10.62,990.96,13.8,990.99,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","990,964,869,713",0,39.83,0.01,990.9648697,"113,559,371",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
4,2022-10-05,1MP45,한국투자TDF알아서ETF포커스2045MP,주식형,11.59,990.92,14.49,990.95,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","990,915,774,872",0,34.79,0.01,990.9157749,"113,817,535",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
5,2022-10-05,1MP50,한국투자TDF알아서ETF포커스2050MP,주식형,12.5,990.89,15.14,990.93,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","990,887,888,548",0,30.08,0.01,990.8878885,"113,980,659",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
6,2022-10-05,1MP55,한국투자TDF알아서ETF포커스2055MP,주식형,13.25,990.87,15.67,990.92,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","990,869,324,461",0,26.31,0.01,990.8693245,"113,872,975",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
7,2022-10-05,1MP60,한국투자TDF알아서ETF포커스2060MP,주식형,13.78,990.85,16.05,990.91,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","990,851,805,305",0,23.55,0.01,990.8518053,"113,901,251",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
8,2022-10-05,2MP24,한국투자TIF알아서평생소득ETF포커스MP,주식형,6.98,991.29,10.98,991.25,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","991,293,097,688",0,60.03,0.01,991.2930977,"113,847,995",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
9,2022-10-05,3MP01,한국투자MYSUPER알아서 안정형MP,주식형,4.14,992.72,6.72,992.62,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","992,723,503,012",0,61.13,0.01,992.723503,"114,052,412",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
10,2022-10-05,3MP02,한국투자MYSUPER알아서 성장형MP,주식형,13.01,992.91,13.97,992.87,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","992,906,375,172",0,22.82,0.01,992.9063752,"115,091,458",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
11,2022-10-06,1MP30,한국투자TDF알아서ETF포커스2030MP,주식형,-4.31,986.82,-6.26,984.85,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","986,817,816,756",0,51.88,0.01,986.8178168,"113,430,330",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
12,2022-10-06,1MP35,한국투자TDF알아서ETF포커스2035MP,주식형,-4.68,986.35,-6.49,984.55,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","986,345,056,161",0,45.36,0.01,986.3450562,"113,484,933",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
13,2022-10-06,1MP40,한국투자TDF알아서ETF포커스2040MP,주식형,-5.01,985.95,-6.67,984.32,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","985,949,775,651",0,39.77,0.01,985.9497757,"113,559,371",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
14,2022-10-06,1MP45,한국투자TDF알아서ETF포커스2045MP,주식형,-5.31,985.61,-6.82,984.13,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","985,607,521,861",0,34.73,0.01,985.6075219,"113,817,535",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
15,2022-10-06,1MP50,한국투자TDF알아서ETF포커스2050MP,주식형,-5.58,985.31,-6.94,983.99,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","985,311,674,015",0,30.02,0.01,985.311674,"113,980,659",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
