기준일자,KIS 종합 총수익지수
2022-10-04,240.56
2022-10-05,239.43
2022-10-06,239.46
2022-10-07,238.32
2022-10-08,238.35
2022-10-09,238.37
2022-10-10,238.4
2022-10-11,237.32
2022-10-12,239.31
2022-10-13,238.16
2022-10-14,238.34
2022-10-15,238.37
2022-10-16,238.4
2022-10-17,237.85
2022-10-18,237.45
2022-10-19,236.26
2022-10-20,235.79
2022-10-21,233.81
2022-10-22,233.84
2022-10-23,233.88
2022-10-24,234.68
2022-10-25,236.55
2022-10-26,237.07
2022-10-27,236.51
2022-10-28,237.77
2022-10-29,237.8
2022-10-30,237.83
2022-10-31,237.55
2022-11-01,238.3
2022-11-02,238.13
2022-11-03,237.61
2022-11-04,237.45
2022-11-05,237.48
2022-11-06,237.51
2022-11-07,236.76
2022-11-08,236.94
2022-11-09,237.48
2022-11-10,238.67
2022-11-11,240.47
2022-11-12,240.5
2022-11-13,240.53
2022-11-14,240.16
2022-11-15,241.09
2022-11-16,240.45
2022-11-17,240.97
2022-11-18,241.53
2022-11-19,241.56
2022-11-20,241.59
2022-11-21,241.53
2022-11-22,241.24
2022-11-23,241.39
2022-11-24,243.12
2022-11-25,243.13
2022-11-26,243.16
2022-11-27,243.18
2022-11-28,243.23
2022-11-29,242.75
2022-11-30,242.67
2022-12-01,243.21
2022-12-02,244.22
2022-12-03,244.25
2022-12-04,244.27
2022-12-05,244.7
2022-12-06,245.05
2022-12-07,244.81
2022-12-08,244.85
2022-12-09,245.51
2022-12-10,245.54
2022-12-11,245.56
2022-12-12,245.6
2022-12-13,245.58
2022-12-14,246.44
2022-12-15,246.79
2022-12-16,247.1
2022-12-17,247.13
2022-12-18,247.15
2022-12-19,246.81
2022-12-20,244.88
2022-12-21,245.32
2022-12-22,246.02
2022-12-23,245.4
2022-12-24,245.43
2022-12-25,245.46
2022-12-26,244.96
2022-12-27,245.44
2022-12-28,244.9
2022-12-29,244.41
2022-12-30,244.43
2022-12-31,244.46
2023-01-01,244.49
2023-01-02,244.03
2023-01-03,245.13
2023-01-04,246.17
2023-01-05,246.3
2023-01-06,246.58
2023-01-07,246.6
2023-01-08,246.63
2023-01-09,247.99
2023-01-10,247.88
2023-01-11,248.79
2023-01-12,248.86
2023-01-13,250.12
2023-01-14,250.14
2023-01-15,250.17
2023-01-16,249.42
2023-01-17,248.99
2023-01-18,250.39
2023-01-19,251.59
2023-01-20,251.21
2023-01-21,251.24
2023-01-22,251.26
2023-01-23,251.29
2023-01-24,251.31
2023-01-25,251.72
2023-01-26,251.62
2023-01-27,251.18
2023-01-28,251.2
2023-01-29,251.23
2023-01-30,251.77
2023-01-31,251.39
2023-02-01,251.89
2023-02-02,252.44
2023-02-03,253.24
2023-02-04,253.26
2023-02-05,253.29
2023-02-06,251.77
2023-02-07,252.02
2023-02-08,251.9
2023-02-09,251.44
2023-02-10,251.47
2023-02-11,251.49
2023-02-12,251.52
2023-02-13,250.9
2023-02-14,251.41
2023-02-15,250.61
2023-02-16,250.69
2023-02-17,249
2023-02-18,249.03
2023-02-19,249.05
2023-02-20,248.43
2023-02-21,249
2023-02-22,248.68
2023-02-23,249.13
2023-02-24,250.13
2023-02-25,250.15
2023-02-26,250.18
2023-02-27,248.97
2023-02-28,247.53
2023-03-01,247.56
2023-03-02,246.87
2023-03-03,247.6
2023-03-04,247.63
2023-03-05,247.66
2023-03-06,248.19
2023-03-07,248.77
2023-03-08,248.07
2023-03-09,248.16
2023-03-10,250.02
2023-03-11,250.05
2023-03-12,250.08
2023-03-13,251.93
2023-03-14,252.41
2023-03-15,251.9
2023-03-16,252.13
2023-03-17,252.18
2023-03-18,252.21
2023-03-19,252.23
2023-03-20,253.51
2023-03-21,253.27
2023-03-22,253.88
2023-03-23,253.86
2023-03-24,254.56
2023-03-25,254.59
2023-03-26,254.61
2023-03-27,254.13
2023-03-28,253.82
2023-03-29,254.01
2023-03-30,253.53
2023-03-31,252.78
2023-04-01,252.81
2023-04-02,252.83
2023-04-03,252.53
2023-04-04,253.37
2023-04-05,253.43
2023-04-06,254.4
2023-04-07,254.42
2023-04-08,254.44
2023-04-09,254.46
2023-04-10,255.02
2023-04-11,254.92
2023-04-12,254.55
2023-04-13,254.54
2023-04-14,254.57
2023-04-15,254.6
2023-04-16,254.62
2023-04-17,253.83
2023-04-18,253.85
2023-04-19,253.63
2023-04-20,253.18
2023-04-21,254.24
