기준일,통화코드,통화명,매매기준율(시초),전신환율,매매기준율(최종),거래기준율,CrossRate,CrossRate구분,시초환율유무,전일 매매기준율(최종),전일대비(%)
2022-10-05,USD,USD,"1,431.20",0,"1,410.10","1,410.10",1,,N,"1,426.50",-1.1497
2022-10-06,USD,USD,"1,419.10",0,"1,402.40","1,402.40",1,,N,"1,410.10",-0.5461
2022-10-07,USD,USD,"1,404.20",0,"1,412.40","1,412.40",1,,N,"1,402.40",0.7131
2022-10-08,USD,USD,"1,404.20",0,"1,412.40","1,412.40",1,,N,"1,402.40",0.7131
2022-10-09,USD,USD,"1,404.20",0,"1,412.40","1,412.40",1,,N,"1,402.40",0.7131
2022-10-10,USD,USD,"1,404.20",0,"1,412.40","1,412.40",1,,N,"1,402.40",0.7131
2022-10-11,USD,USD,"1,410.30",0,"1,435.20","1,435.20",1,,N,"1,412.40",1.6143
2022-10-12,USD,USD,"1,433.50",0,"1,424.90","1,424.90",1,,N,"1,435.20",-0.7177
2022-10-13,USD,USD,"1,430.40",0,"1,431.30","1,431.30",1,,N,"1,424.90",0.4492
2022-10-14,USD,USD,"1,427.00",0,"1,428.50","1,428.50",1,,N,"1,431.30",-0.1956
2022-10-15,USD,USD,"1,427.00",0,"1,428.50","1,428.50",1,,N,"1,431.30",-0.1956
2022-10-16,USD,USD,"1,427.00",0,"1,428.50","1,428.50",1,,N,"1,431.30",-0.1956
2022-10-17,USD,USD,"1,428.90",0,"1,435.30","1,435.30",1,,N,"1,428.50",0.476
2022-10-18,USD,USD,"1,436.60",0,"1,422.70","1,422.70",1,,N,"1,435.30",-0.8779
2022-10-19,USD,USD,"1,425.60",0,"1,426.20","1,426.20",1,,N,"1,422.70",0.246
2022-10-20,USD,USD,"1,420.60",0,"1,433.30","1,433.30",1,,N,"1,426.20",0.4978
2022-10-21,USD,USD,"1,431.70",0,"1,439.80","1,439.80",1,,N,"1,433.30",0.4535
2022-10-22,USD,USD,"1,431.70",0,"1,439.80","1,439.80",1,,N,"1,433.30",0.4535
2022-10-23,USD,USD,"1,431.70",0,"1,439.80","1,439.80",1,,N,"1,433.30",0.4535
2022-10-24,USD,USD,"1,436.60",0,"1,439.70","1,439.70",1,,N,"1,439.80",-0.0069
2022-10-25,USD,USD,"1,436.60",0,"1,433.10","1,433.10",1,,N,"1,439.70",-0.4584
2022-10-26,USD,USD,"1,436.50",0,"1,426.60","1,426.60",1,,N,"1,433.10",-0.4536
2022-10-27,USD,USD,"1,428.20",0,"1,417.00","1,417.00",1,,N,"1,426.60",-0.6729
2022-10-28,USD,USD,"1,418.10",0,"1,421.50","1,421.50",1,,N,"1,417",0.3176
2022-10-29,USD,USD,"1,418.10",0,"1,421.50","1,421.50",1,,N,"1,417",0.3176
2022-10-30,USD,USD,"1,418.10",0,"1,421.50","1,421.50",1,,N,"1,417",0.3176
2022-10-31,USD,USD,"1,419.30",0,"1,424.30","1,424.30",1,,N,"1,421.50",0.197
2022-11-01,USD,USD,"1,422.20",0,"1,417.20","1,417.20",1,,N,"1,424.30",-0.4985
2022-11-02,USD,USD,"1,421.70",0,"1,417.40","1,417.40",1,,N,"1,417.20",0.0141
2022-11-03,USD,USD,"1,418.00",0,"1,423.80","1,423.80",1,,N,"1,417.40",0.4515
2022-11-04,USD,USD,"1,422.10",0,"1,419.20","1,419.20",1,,N,"1,423.80",-0.3231
2022-11-05,USD,USD,"1,422.10",0,"1,419.20","1,419.20",1,,N,"1,423.80",-0.3231
2022-11-06,USD,USD,"1,422.10",0,"1,419.20","1,419.20",1,,N,"1,423.80",-0.3231
2022-11-07,USD,USD,"1,422.40",0,"1,401.20","1,401.20",1,,N,"1,419.20",-1.2683
2022-11-08,USD,USD,"1,406.50",0,"1,384.90","1,384.90",1,,N,"1,401.20",-1.1633
2022-11-09,USD,USD,"1,387.30",0,"1,364.80","1,364.80",1,,N,"1,384.90",-1.4514
2022-11-10,USD,USD,"1,368.30",0,"1,377.50","1,377.50",1,,N,"1,364.80",0.9305
2022-11-11,USD,USD,"1,370.10",0,"1,318.40","1,318.40",1,,N,"1,377.50",-4.2904
2022-11-12,USD,USD,"1,370.10",0,"1,318.40","1,318.40",1,,N,"1,377.50",-4.2904
2022-11-13,USD,USD,"1,370.10",0,"1,318.40","1,318.40",1,,N,"1,377.50",-4.2904
2022-11-14,USD,USD,"1,334.10",0,"1,325.90","1,325.90",1,,N,"1,318.40",0.5689
2022-11-15,USD,USD,"1,320.30",0,"1,317.60","1,317.60",1,,N,"1,325.90",-0.626
