date,PX_LAST,ISIN
2022-10-03,218.94,US9229087369
2022-10-04,226.24,US9229087369
2022-10-05,225.97,US9229087369
2022-10-06,224.39,US9229087369
2022-10-07,216.45,US9229087369
2022-10-10,213.67,US9229087369
2022-10-11,210.84,US9229087369
2022-10-12,210.53,US9229087369
2022-10-13,215.08,US9229087369
2022-10-14,208.5,US9229087369
2022-10-17,215.91,US9229087369
2022-10-18,218.19,US9229087369
2022-10-19,216.77,US9229087369
2022-10-20,215.11,US9229087369
2022-10-21,219.89,US9229087369
2022-10-24,222.07,US9229087369
2022-10-25,227.28,US9229087369
2022-10-26,222.43,US9229087369
2022-10-27,219.41,US9229087369
2022-10-28,225.14,US9229087369
2022-10-31,222.74,US9229087369
2022-11-01,220.54,US9229087369
2022-11-02,212.55,US9229087369
2022-11-03,208.46,US9229087369
2022-11-04,211.19,US9229087369
2022-11-07,213.29,US9229087369
2022-11-08,214.11,US9229087369
2022-11-09,208.96,US9229087369
2022-11-10,225.45,US9229087369
2022-11-11,230.07,US9229087369
2022-11-14,227.28,US9229087369
2022-11-15,230.49,US9229087369
2022-11-16,227.95,US9229087369
2022-11-17,226.25,US9229087369
2022-11-18,226.4,US9229087369
2022-11-21,224.08,US9229087369
2022-11-22,227.32,US9229087369
2022-11-23,229.76,US9229087369
2022-11-25,228.93,US9229087369
2022-11-28,224.93,US9229087369
2022-11-29,223.17,US9229087369
2022-11-30,233.04,US9229087369
2022-12-01,233.81,US9229087369
2022-12-02,233.17,US9229087369
2022-12-05,228.45,US9229087369
2022-12-06,223.66,US9229087369
2022-12-07,222.75,US9229087369
2022-12-08,225.33,US9229087369
2022-12-09,223.79,US9229087369
2022-12-12,227.1,US9229087369
2022-12-13,229.94,US9229087369
2022-12-14,228.25,US9229087369
2022-12-15,220.85,US9229087369
2022-12-16,217.85,US9229087369
2022-12-19,214.48,US9229087369
2022-12-20,214.61,US9229087369
2022-12-21,218.03,US9229087369
2022-12-22,212.92,US9229087369
2022-12-23,213.63,US9229087369
2022-12-27,211.21,US9229087369
2022-12-28,208.44,US9229087369
2022-12-29,213.7,US9229087369
2022-12-30,213.11,US9229087369
2023-01-03,211.61,US9229087369
2023-01-04,213.07,US9229087369
2023-01-05,209.25,US9229087369
2023-01-06,214.15,US9229087369
2023-01-09,216.02,US9229087369
2023-01-10,217.94,US9229087369
2023-01-11,222.37,US9229087369
2023-01-12,223.64,US9229087369
2023-01-13,225.01,US9229087369
2023-01-17,225.66,US9229087369
2023-01-18,222.98,US9229087369
2023-01-19,221.05,US9229087369
2023-01-20,227.02,US9229087369
2023-01-23,231.11,US9229087369
2023-01-24,230.39,US9229087369
2023-01-25,229.85,US9229087369
2023-01-26,233.43,US9229087369
2023-01-27,235.75,US9229087369
2023-01-30,231.37,US9229087369
2023-01-31,235.24,US9229087369
2023-02-01,239.78,US9229087369
2023-02-02,247.24,US9229087369
2023-02-03,243.23,US9229087369
2023-02-06,241.01,US9229087369
2023-02-07,245.58,US9229087369
2023-02-08,241.98,US9229087369
2023-02-09,239.68,US9229087369
2023-02-10,238.13,US9229087369
2023-02-13,241.68,US9229087369
2023-02-14,243.02,US9229087369
2023-02-15,244.98,US9229087369
2023-02-16,240.34,US9229087369
2023-02-17,238.31,US9229087369
2023-02-21,232.43,US9229087369
2023-02-22,232.6,US9229087369
2023-02-23,234.54,US9229087369
2023-02-24,230.53,US9229087369
2023-02-27,232.15,US9229087369
2023-02-28,231.89,US9229087369
2023-03-01,230.08,US9229087369
2023-03-02,232.31,US9229087369
2023-03-03,237.19,US9229087369
2023-03-06,237.45,US9229087369
2023-03-07,234.26,US9229087369
2023-03-08,235.09,US9229087369
2023-03-09,230.86,US9229087369
2023-03-10,226.75,US9229087369
2023-03-13,228.18,US9229087369
2023-03-14,233.16,US9229087369
2023-03-15,233.24,US9229087369
2023-03-16,238.98,US9229087369
2023-03-17,237.56,US9229087369
2023-03-20,238.28,US9229087369
2023-03-21,242.12,US9229087369
2023-03-22,238.45,US9229087369
2023-03-23,240.4,US9229087369
2023-03-24,241.05,US9229087369
2023-03-27,239.94,US9229087369
2023-03-28,238.94,US9229087369
2023-03-29,243.07,US9229087369
2023-03-30,245.02,US9229087369
2023-03-31,249.44,US9229087369
2023-04-03,249.21,US9229087369
2023-04-04,248.47,US9229087369
2023-04-05,245.81,US9229087369
2023-04-06,247.35,US9229087369
2023-04-10,247.1,US9229087369
2023-04-11,246.1,US9229087369
2023-04-12,244.59,US9229087369
2023-04-13,249.53,US9229087369
2023-04-14,248.88,US9229087369
2023-04-17,249.33,US9229087369
2023-04-18,249.58,US9229087369
2023-04-19,249.78,US9229087369
