error,formula,requestId,dataType,objectType,result.dates,result.values
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-03,218.94
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-04,226.24
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-05,225.97
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-06,224.39
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-07,216.45
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-10,213.67
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-11,210.84
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-12,210.53
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-13,215.08
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-14,208.5
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-17,215.91
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-18,218.19
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-19,216.77
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-20,215.11
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-21,219.89
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-24,222.07
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-25,227.28
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-26,222.43
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-27,219.41
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-28,225.14
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-10-31,222.74
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-01,220.54
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-02,212.55
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-03,208.46
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-04,211.19
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-07,213.29
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-08,214.11
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-09,208.96
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-10,225.45
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-11,230.07
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-14,227.28
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-15,230.49
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-16,227.95
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-17,226.25
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-18,226.4
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-21,224.08
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-22,227.32
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-23,229.76
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-24,229.76
0,"FG_RETURN(10/03/2022,0)",US9229087369,DOUBLE,TIMESERIES,2022-11-25,228.93
