일자,펀드,펀드명,설정일,펀드유형,펀드 듀레이션,,,,,,BM 듀레이션,,
,,,,,채권,채권파생,채권현금성,채권현금성파생,펀드평가액,펀드순자산,채권,채권현금성,BM전체
2022-10-05,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5576,3.2064,4.4566,4.0166,4.0166,4.0161,3.9711,3.9711,3.9711
2022-10-06,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5548,3.3497,4.451,4.1942,4.1942,4.1959,3.969,3.969,3.969
2022-10-07,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5439,3.3406,4.1886,3.9484,3.9484,3.9486,3.9577,3.9577,3.9577
2022-10-08,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5439,3.3407,4.1886,3.9484,3.9484,3.9486,3.9551,3.9551,3.9551
2022-10-09,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5439,3.3407,4.1886,3.9484,3.9484,3.9486,3.9524,3.9524,3.9524
2022-10-10,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5439,3.3407,4.1885,3.9484,3.9484,3.9486,3.9497,3.9497,3.9497
2022-10-11,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5255,3.324,4.1682,3.93,3.93,3.9302,3.9402,3.9402,3.9402
2022-10-12,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5388,3.3632,4.1783,3.971,3.971,3.9734,3.9527,3.9527,3.9527
2022-10-13,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5263,3.3531,4.1688,3.964,3.964,3.9632,3.9357,3.9357,3.9357
2022-10-14,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5255,3.351,4.1664,3.9602,3.9602,3.9612,3.9349,3.9349,3.9349
2022-10-15,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5255,3.3511,4.1663,3.9602,3.9602,3.9612,3.9323,3.9323,3.9323
2022-10-16,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5255,3.3511,4.1663,3.9602,3.9602,3.9612,3.9296,3.9296,3.9296
2022-10-17,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5129,3.3392,4.1537,3.9483,3.9483,3.9483,3.9238,3.9238,3.9238
2022-10-18,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5057,3.3329,4.1462,3.9418,3.9418,3.9417,3.9204,3.9204,3.9204
2022-10-19,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.494,3.3232,4.1349,3.9328,3.9328,3.9323,3.9095,3.9095,3.9095
2022-10-20,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4881,3.3178,4.1282,3.9265,3.9265,3.9267,3.9033,3.9033,3.9033
2022-10-21,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4754,3.308,4.1133,3.9152,3.9152,3.914,3.8889,3.8889,3.8889
2022-10-22,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4755,3.308,4.1133,3.9152,3.9152,3.914,3.8862,3.8862,3.8862
2022-10-23,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4755,3.3081,4.1133,3.9152,3.9152,3.914,3.8836,3.8836,3.8836
2022-10-24,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4754,3.3067,4.1086,3.9092,3.9092,3.9103,3.8899,3.8899,3.8899
2022-10-25,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4844,3.3123,4.1168,3.9135,3.9135,3.9157,3.902,3.902,3.902
2022-10-26,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4849,3.3114,4.1188,3.9137,3.9137,3.915,3.903,3.903,3.903
2022-10-27,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4792,3.3063,4.1142,3.9097,3.9097,3.9099,3.8977,3.8977,3.8977
2022-10-28,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.487,3.3115,4.1198,3.9124,3.9124,3.9142,3.9069,3.9069,3.9069
2022-10-29,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.487,3.3115,4.1198,3.9124,3.9124,3.9142,3.9042,3.9042,3.9042
2022-10-30,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.487,3.3115,4.1197,3.9124,3.9124,3.9142,3.9015,3.9015,3.9015
2022-10-31,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4749,3.3003,4.1083,3.9018,3.9018,3.902,3.9013,3.9013,3.9013
2022-11-01,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4795,3.3035,4.111,3.903,3.903,3.9042,3.9073,3.9073,3.9073
2022-11-02,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4761,3.3,4.1083,3.9002,3.9002,3.9008,3.9031,3.9031,3.9031
2022-11-03,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4678,3.2925,4.1006,3.8932,3.8932,3.8934,3.8949,3.8949,3.8949
2022-11-04,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.466,3.2907,4.0975,3.8902,3.8902,3.8907,3.8933,3.8933,3.8933
2022-11-05,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.466,3.2907,4.0975,3.8902,3.8902,3.8907,3.8906,3.8906,3.8906
