date,M2WD Index,LEGATRUU Index,KST0000T Index
2022-10-03,1249.81,430.1659,
2022-10-04,1290.09,432.8625,240.5601
2022-10-05,1287.31,429.1077,239.4336
2022-10-06,1277.79,427.382,239.4593
2022-10-07,1248.02,424.8319,238.3177
2022-10-10,1235.87,422.4155,
2022-10-11,1223.88,421.1081,237.3187
2022-10-12,1220.1,420.4829,239.3103
2022-10-13,1238.69,419.77,238.1601
2022-10-14,1224.04,418.8053,238.3442
2022-10-17,1249.72,420.4909,237.8535
2022-10-18,1263.74,421.3877,237.4547
2022-10-19,1253.19,418.346,236.2581
2022-10-20,1248.51,417.512,235.7882
2022-10-21,1263.77,415.9279,233.8148
2022-10-24,1274.34,418.0608,234.6793
2022-10-25,1295.04,422.3679,236.5501
2022-10-26,1295.36,426.2548,237.0731
2022-10-27,1291.05,428.228,236.5116
2022-10-28,1306.15,426.3085,237.7704
2022-10-31,1300.54,423.5826,237.5491
2022-11-01,1302.99,424.3857,238.2996
2022-11-02,1282.48,424.3376,238.1345
2022-11-03,1266.09,420.3735,237.6067
2022-11-04,1288.07,422.2824,237.4462
2022-11-07,1302.2,423.3282,236.757
2022-11-08,1312.38,425.7782,236.9424
2022-11-09,1291.92,426.2647,237.4815
2022-11-10,1348.53,435.6731,238.6717
2022-11-11,1373.0,438.5809,240.473
2022-11-14,1364.63,437.8666,240.1566
2022-11-15,1379.16,441.048,241.0934
2022-11-16,1368.89,443.0857,240.4463
2022-11-17,1360.3,440.195,240.9663
2022-11-18,1368.05,440.8363,241.5313
2022-11-21,1357.9,438.5632,241.5287
2022-11-22,1373.58,440.7016,241.243
2022-11-23,1384.45,444.374,241.3945
2022-11-24,1390.57,446.2042,243.1239
2022-11-25,1388.85,444.7593,243.1265
2022-11-28,1371.08,444.2731,243.2262
2022-11-29,1372.27,443.5807,242.7523
2022-11-30,1402.01,443.5168,242.6694
2022-12-01,1412.44,451.2251,243.2109
2022-12-02,1408.12,451.8751,244.2171
2022-12-05,1392.94,451.0722,244.7049
2022-12-06,1375.56,451.3035,245.0524
2022-12-07,1369.82,453.2836,244.8121
2022-12-08,1378.91,453.2428,244.8513
2022-12-09,1376.99,451.5544,245.5078
2022-12-12,1384.2,450.4589,245.5992
2022-12-13,1399.18,454.5534,245.5807
2022-12-14,1396.03,455.5269,246.4355
2022-12-15,1362.64,452.8577,246.7896
2022-12-16,1348.05,451.1433,247.0983
2022-12-19,1338.93,449.0026,246.8116
2022-12-20,1341.14,449.438,244.8823
2022-12-21,1357.19,449.3601,245.3203
2022-12-22,1344.45,448.483,246.0247
2022-12-23,1347.6,447.4247,245.3993
2022-12-26,1348.0,447.3318,244.9624
2022-12-27,1346.44,446.0965,245.4449
2022-12-28,1334.98,444.3344,244.9031
2022-12-29,1351.79,446.1406,244.4051
2022-12-30,1347.4,445.9152,244.4339
2023-01-02,1349.51,,244.0302
2023-01-03,1347.67,447.2763,245.1328
2023-01-04,1360.33,449.6396,246.1717
2023-01-05,1348.41,447.1892,246.2952
2023-01-06,1374.48,452.1156,246.5777
2023-01-09,1384.78,455.3111,247.9913
2023-01-10,1388.57,453.5124,247.884
2023-01-11,1402.62,455.8959,248.7912
2023-01-12,1411.85,459.6868,248.8641
2023-01-13,1420.89,460.764,250.1184
2023-01-16,1421.16,460.2281,249.4245
2023-01-17,1420.87,460.5765,248.9885
2023-01-18,1410.77,464.0637,250.3853
2023-01-19,1397.57,462.6066,251.5866
2023-01-20,1417.33,460.7811,251.2114
2023-01-23,1431.37,460.3713,
2023-01-24,1431.94,461.958,
2023-01-25,1432.66,462.8302,251.7241
2023-01-26,1444.1,461.142,251.6219
2023-01-27,1447.71,460.6262,251.1756
2023-01-30,1434.47,459.9795,251.7688
2023-01-31,1444.32,460.5541,251.3878
2023-02-01,1457.58,463.1692,251.885
2023-02-02,1475.49,466.6737,252.4361
2023-02-03,1462.01,461.4615,253.2404
2023-02-06,1445.75,456.3733,251.7674
2023-02-07,1458.3,456.0692,252.0154
2023-02-08,1450.63,456.5883,251.9014
2023-02-09,1446.14,456.8804,251.4425
2023-02-10,1441.63,453.9353,251.469
2023-02-13,1453.77,454.2133,250.8953
2023-02-14,1455.22,453.1787,251.4086
2023-02-15,1455.28,450.7764,250.6075
2023-02-16,1445.05,449.7371,250.6897
2023-02-17,1438.41,449.6115,248.9996
2023-02-20,1440.91,450.2478,248.4313
2023-02-21,1419.6,447.2791,248.996
2023-02-22,1413.22,446.9948,248.6768
2023-02-23,1417.37,447.5171,249.1331
2023-02-24,1400.85,444.2571,250.127
2023-02-27,1407.09,444.9915,248.9695
2023-02-28,1403.43,445.2434,247.5294
2023-03-01,1403.14,444.543,
2023-03-02,1408.73,442.5448,246.8714
2023-03-03,1427.72,444.3632,247.6035
