"리밸런싱날짜","펀드설명","ISIN","weight","설정일","자산군_대","자산군_소"
2023-05-12,"ACETDF_2025","US9229087369",0.1852,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2025","US9229087443",0.0959,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2025","US9219438580",0.0164,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2025","US9220428588",0.032,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2025","US78463V1070",0.0617,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2025","KR7356540005",0.5985,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2025","KR7152380002",0.0102,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2030","US9229087369",0.228,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2030","US9229087443",0.118,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2030","US9219438580",0.0202,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2030","US9220428588",0.0393,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2030","US78463V1070",0.076,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2030","KR7356540005",0.4663,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2030","KR7152380002",0.0523,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2035","US9229087369",0.2665,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2035","US9229087443",0.1379,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2035","US9219438580",0.0236,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2035","US9220428588",0.046,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2035","US78463V1070",0.0888,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2035","KR7356540005",0.3564,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2035","KR7152380002",0.0808,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2040","US9229087369",0.3029,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2040","US9229087443",0.1567,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2040","US9219438580",0.0268,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2040","US9220428588",0.0522,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2040","US78463V1070",0.101,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2040","KR7356540005",0.2635,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2040","KR7152380002",0.0968,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2045","US9229087369",0.3375,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2045","US9229087443",0.1746,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2045","US9219438580",0.0299,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2045","US9220428588",0.0582,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2045","US78463V1070",0.1125,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2045","KR7356540005",0.1859,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2045","KR7152380002",0.1013,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2050","US9229087369",0.3698,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2050","US9229087443",0.1914,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2050","US9219438580",0.0328,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2050","US9220428588",0.0638,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2050","US78463V1070",0.1233,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2050","KR7356540005",0.1234,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2050","KR7152380002",0.0957,2023-05-12,"채권","한국 10년국고채권"
