"pr_date","sec_id","ITEM_NM","자산군","노출통화","시가평가액","조정_평가시가평가액","순자산총액","순자산비중","weight_PA","denom","순자산총액_T1","순설정금액","종목별수익률","r_sec","return_fx","기여수익률","FX효과","시가평가액_T1"
2026-01-08,"000000000000",NA,"유동성및기타","KRW",0,NA,11576755345,0,NA,1.157e+10,0,1.157e+10,NA,NA,0.00331996126711842,NA,0,0
2026-01-08,"KR70127P0003","ACE 미국대형성장주액티브","해외주식","USD",2923200000,2917396430,11576755345,0.252505984007214,0.252151808988764,1.157e+10,0,1.157e+10,0.00198929769719366,-0.00132626043664508,0.00331996126711842,-0.000334418968290284,0,0
2026-01-08,"KR7105190003","ACE 200","국내주식","KRW",542700000,547439735,11576755345,0.0468784200604526,0.0473154481417459,1.157e+10,0,1.157e+10,-0.00865800324121522,-0.00865800324121522,0.00331996126711842,-0.000409657303370787,0,0
2026-01-08,"KR7356540005","ACE 종합채권(AA-이상)액티브","국내채권","KRW",950805000,949664781,11576755345,0.0821305254939721,0.0820799292134831,1.157e+10,0,1.157e+10,0.00120065419168156,0.00120065419168156,0.00331996126711842,9.85496110630942e-05,0,0
2026-01-08,"KR7365780006","ACE 국고채10년","국내채권","KRW",2853345000,2846497005,11576755345,0.246471909871738,0.246023941659464,1.157e+10,0,1.157e+10,0.00240576223617,0.00240576223617,0.00331996126711842,0.000591875108038029,0,0
2026-01-08,"KR7367380003","ACE 미국나스닥100","해외주식","USD",1297890000,1300342956,11576755345,0.112111723995321,0.112389192394123,1.157e+10,0,1.157e+10,-0.00188639157745397,-0.00518912515006398,0.00331996126711842,-0.000583201584847721,0,0
2026-01-08,"KR9999990000","예금","유동성및기타","KRW",11570656161,1.157e+10,11576755345,0.999473152552832,1,1.157e+10,0,1.157e+10,5.67122731201383e-05,5.67122731201383e-05,0.00331996126711842,5.67122731201383e-05,0,0
2026-01-09,"000000000000",NA,"유동성및기타","KRW",0,NA,11558289742,0,NA,11576755345,11576755345,0,NA,NA,0.00482558941127809,NA,0,0
2026-01-09,"KR70127P0003","ACE 미국대형성장주액티브","해외주식","USD",3564786000,3579953463,11558289742,0.308418120636519,0.309236340953355,11576755345,11576755345,0,-0.00423677658292509,-0.00901884475246373,0.00482558941127809,-0.00278895455087825,13978941.6731953,2923200000
2026-01-09,"KR7105190003","ACE 200","국내주식","KRW",668745000,664274350,11558289742,0.0578584734357319,0.0573800110828895,11576755345,11576755345,0,0.00673012588849773,0.00673012588849773,0.00482558941127809,0.000386174698071241,0,542700000
2026-01-09,"KR7356540005","ACE 종합채권(AA-이상)액티브","국내채권","KRW",1159895000,1162088711,11558289742,0.1003517843808,0.10038121013777,11576755345,11576755345,0,-0.00188773109938592,-0.00188773109938592,0.00482558941127809,-0.000189492732171062,0,950805000
2026-01-09,"KR7365780006","ACE 국고채10년","국내채권","KRW",3588910500,3608625049,11558289742,0.310505323893965,0.311712992238241,11576755345,11576755345,0,-0.00546317468074528,-0.00546317468074528,0.00482558941127809,-0.00170294252685531,0,2853345000
2026-01-09,"KR7367380003","ACE 미국나스닥100","해외주식","USD",1625028000,1618085640,11558289742,0.140594156771745,0.139770219874159,11576755345,11576755345,0,0.00429047748053682,-0.00053254210121656,0.00482558941127809,-7.44335265792854e-05,6259748.88496192,1297890000
2026-01-09,"KR7411060007","ACE KRX금현물","대체","USD",2795375000,2791600817,11558289742,0.241850227187357,0.241138448019953,11576755345,11576755345,0,0.00135197803963102,-0.00345692964853961,0.00482558941127809,-0.000833598650363004,0,0
2026-01-09,"KR9999990000","예금","유동성및기타","KRW",42235374,42233016,11558289742,0.00365411967884202,0.00364808745986331,11576755345,11576755345,0,5.583309513107e-05,5.583309513107e-05,0.00482558941127809,2.03684014193011e-07,0,11570656161
2026-01-09,"KR9G10980033","미래에셋증권(콜론)","유동성및기타","KRW",6900491507,6.9e+09,11558289742,0.597016657397444,0.596021924483367,11576755345,11576755345,0,7.12328985507246e-05,7.12328985507246e-05,0.00482558941127809,4.24563692807313e-05,0,0
2026-01-09,"US46435U8532","iShares Broad USD High Yield Corporate B","해외채권","USD",678506969,678633751,11558289742,0.0587030593751662,0.0586203759841139,11576755345,11576755345,0,-0.000186819473409892,-0.00498833721743164,0.00482558941127809,-0.000292418203221391,0,0
2026-01-09,"USMUSD022001","USD DEPOSIT","FX","USD",152198248,149471249,11558289742,0.0131678865469991,0.0129113248527409,11576755345,11576755345,0,0.0182443046287785,0.0182443046287785,0.00482558941127809,0.000235558143774524,0,0
2026-01-10,"000000000000",NA,"유동성및기타","KRW",0,NA,11558701110,0,NA,11558289742,11558289742,0,NA,NA,0,NA,0,0
2026-01-10,"KR70127P0003","ACE 미국대형성장주액티브","해외주식","USD",3564786000,3564786000,11558701110,0.308407144200305,0.308418120636519,11558289742,11558289742,0,0,0,0,0,0,3564786000
2026-01-10,"KR7105190003","ACE 200","국내주식","KRW",668745000,668745000,11558701110,0.0578564142835596,0.0578584734357319,11558289742,11558289742,0,0,0,0,0,0,668745000
2026-01-10,"KR7356540005","ACE 종합채권(AA-이상)액티브","국내채권","KRW",1159895000,1159895000,11558701110,0.100348212914383,0.1003517843808,11558289742,11558289742,0,0,0,0,0,0,1159895000
2026-01-10,"KR7365780006","ACE 국고채10년","국내채권","KRW",3588910500,3588910500,11558701110,0.310494273175301,0.310505323893965,11558289742,11558289742,0,0,0,0,0,0,3588910500
2026-01-10,"KR7367380003","ACE 미국나스닥100","해외주식","USD",1625028000,1625028000,11558701110,0.140589153100785,0.140594156771745,11558289742,11558289742,0,0,0,0,0,0,1625028000
2026-01-10,"KR7411060007","ACE KRX금현물","대체","USD",2795375000,2795375000,11558701110,0.241841619866923,0.241850227187357,11558289742,11558289742,0,0,0,0,0,0,2795375000
2026-01-10,"KR9999990000","예금","유동성및기타","KRW",42237732,42235374,11558701110,0.00365419363283458,0.00365411967884202,11558289742,11558289742,0,5.58299779705988e-05,5.58299779705988e-05,0,2.04009421171681e-07,0,42235374
2026-01-10,"KR9G10980033","미래에셋증권(콜론)","유동성및기타","KRW",6900983014,6900491507,11558701110,0.597037932577876,0.597016657397444,11558289742,11558289742,0,7.12278247863077e-05,7.12278247863077e-05,0,4.25241978676122e-05,0,6900491507
2026-01-10,"US46435U8532","iShares Broad USD High Yield Corporate B","해외채권","USD",678506969,678506969,11558701110,0.0587009701646312,0.0587030593751662,11558289742,11558289742,0,0,0,0,0,0,678506969
2026-01-10,"USMUSD022001","USD DEPOSIT","FX","USD",152198248,152198248,11558701110,0.0131674179089488,0.0131678865469991,11558289742,11558289742,0,0,0,0,0,0,152198248
2026-01-11,"000000000000",NA,"유동성및기타","KRW",0,NA,11559112476,0,NA,11558701110,11558701110,0,NA,NA,0,NA,0,0
2026-01-11,"KR70127P0003","ACE 미국대형성장주액티브","해외주식","USD",3564786000,3564786000,11559112476,0.308396168598714,0.308407144200305,11558701110,11558701110,0,0,0,0,0,0,3564786000
2026-01-11,"KR7105190003","ACE 200","국내주식","KRW",668745000,668745000,11559112476,0.0578543552879604,0.0578564142835596,11558701110,11558701110,0,0,0,0,0,0,668745000
2026-01-11,"KR7356540005","ACE 종합채권(AA-이상)액티브","국내채권","KRW",1159895000,1159895000,11559112476,0.100344641719533,0.100348212914383,11558701110,11558701110,0,0,0,0,0,0,1159895000
2026-01-11,"KR7365780006","ACE 국고채10년","국내채권","KRW",3588910500,3588910500,11559112476,0.310483223296909,0.310494273175301,11558701110,11558701110,0,0,0,0,0,0,3588910500
2026-01-11,"KR7367380003","ACE 미국나스닥100","해외주식","USD",1625028000,1625028000,11559112476,0.140584149810292,0.140589153100785,11558701110,11558701110,0,0,0,0,0,0,1625028000
2026-01-11,"KR7411060007","ACE KRX금현물","대체","USD",2795375000,2795375000,11559112476,0.24183301320097,0.241841619866923,11558701110,11558701110,0,0,0,0,0,0,2795375000
2026-01-11,"KR9999990000","예금","유동성및기타","KRW",42240090,42237732,11559112476,0.00365426758219564,0.00365419363283458,11558701110,11558701110,0,5.58268611581701e-05,5.58268611581701e-05,0,2.04002160585325e-07,0,42237732
2026-01-11,"KR9G10980033","미래에셋증권(콜론)","유동성및기타","KRW",6901474521,6900983014,11559112476,0.597059206347323,0.597037932577876,11558701110,11558701110,0,7.12227517446256e-05,7.12227517446256e-05,0,4.25226844541186e-05,0,6900983014
2026-01-11,"US46435U8532","iShares Broad USD High Yield Corporate B","해외채권","USD",678506969,678506969,11559112476,0.0586988811129551,0.0587009701646312,11558701110,11558701110,0,0,0,0,0,0,678506969
2026-01-11,"USMUSD022001","USD DEPOSIT","FX","USD",152198248,152198248,11559112476,0.0131669493065326,0.0131674179089488,11558701110,11558701110,0,0,0,0,0,0,152198248
2026-01-12,"000000000000",NA,"유동성및기타","KRW",0,NA,14405473898,0,NA,14259112477,11559112476,2700000001,NA,NA,0.00740944017563128,NA,0,0
2026-01-12,"KR70127P0003","ACE 미국대형성장주액티브","해외주식","USD",3587705000,3564786000,14405473898,0.249051508156084,0.250000552681663,14259112477,11559112476,2700000001,0.00875555503191496,0.00133621425668684,0.00740944017563128,0.000334054302672828,26448362.124762,3564786000
2026-01-12,"KR7105190003","ACE 200","국내주식","KRW",673299000,668745000,14405473898,0.0467391079784941,0.0468994827748703,14259112477,11559112476,2700000001,0.00680977054034049,0.00680977054034049,0.00740944017563128,0.000319374716157518,0,668745000
2026-01-12,"KR7356540005","ACE 종합채권(AA-이상)액티브","국내채권","KRW",1160280000,1159895000,14405473898,0.0805443825184459,0.0813441230561099,14259112477,11559112476,2700000001,0.0005900827230051,0.0005900827230051,0.00740944017563128,4.79997616334112e-05,0,1159895000
2026-01-12,"KR7365780006","ACE 국고채10년","국내채권","KRW",3589327500,3588910500,14405473898,0.249164138952647,0.251692418149371,14259112477,11559112476,2700000001,0.000754455147321172,0.000754455147321172,0.00740944017563128,0.000189890640414506,0,3588910500
2026-01-12,"KR7367380003","ACE 미국나스닥100","해외주식","USD",1638207000,1625028000,14405473898,0.113721145975451,0.113964175724203,14259112477,11559112476,2700000001,0.00811001410437235,0.000695421246617478,0.00740944017563128,7.92531091518584e-05,12048921.0024518,1625028000
2026-01-12,"KR7411060007","ACE KRX금현물","대체","USD",2882300000,2795375000,14405473898,0.200083664057742,0.196041303728332,14259112477,11559112476,2700000001,0.0310960067969414,0.0235123532465416,0.00740944017563128,0.00460939238417308,21199155.5434489,2795375000
2026-01-12,"KR9999990000","예금","유동성및기타","KRW",49711042,49708261,14405473898,0.00345084391891486,0.00348606977328916,14259112477,11559112476,2700000001,5.5946435140831e-05,5.5946435140831e-05,0.00740944017563128,1.95033176467733e-07,0,42240090
2026-01-12,"KR9G10980033","미래에셋증권(콜론)","유동성및기타","KRW",0,6901474521,14405473898,0,0.484004494117856,14259112477,11559112476,2700000001,0,0,0.00740944017563128,0,0,6901474521
2026-01-12,"KR9G11280015","미래에셋증권(콜론)","유동성및기타","KRW",19071364,19070000,14405473898,0.00132389702241228,0.00133739039023361,14259112477,11559112476,2700000001,7.15259570005244e-05,7.15259570005244e-05,0.00740944017563128,9.56581275447639e-08,0,0
2026-01-12,"KR9G11280033","키움증권(콜론)","유동성및기타","KRW",3900278877,3.9e+09,14405473898,0.27074977918925,0.273509308962301,14259112477,11559112476,2700000001,7.15069230769231e-05,7.15069230769231e-05,0.00740944017563128,1.95578091167897e-05,0,0
2026-01-12,"KR9G11280034","키움증권(콜론)","유동성및기타","KRW",18541326,18540000,14405473898,0.00128710281461648,0.00130022117645156,14259112477,11559112476,2700000001,7.15210355987055e-05,7.15210355987055e-05,0.00740944017563128,9.29931650471825e-08,0,0
2026-01-12,"US46435U8532","iShares Broad USD High Yield Corporate B","해외채권","USD",836125682,830327194,14405473898,0.0580422197784194,0.0582313377034735,14259112477,11559112476,2700000001,0.00698337720587771,-0.000422929300403774,0.00740944017563128,-2.4627738916506e-05,5025230.57906198,678506969
