article_id,title,category,region,sector,v1_asset,rule_asset,llm_primary_asset,hybrid_primary_asset,affected_assets,consistency_warning,MANUAL_region,MANUAL_primary_asset,result,note
6fa4d3f2fb6e,4월 수출: 조선의 4번타자 반도체,economy,KR,테크_AI_반도체,해외주식,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
66cf97bd0bc1,코스피 급등 배경: 반도체가 고유가를 이기고 있다,economy,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
5c815c74b13c,코스피 반등의 소비 자산효과 가능성,economy,KR,경기_소비,해외채권,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
c0b09e178077,"국내 수출, 반도체와 함께 대중 수출 모멘텀 주목",economy,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
fc175d8916ce,(Macro Snapshot) 반도체 호황 속 달라진 성장과 금리..,economy,KR,금리_채권,국내채권,국내채권,국내채권,국내채권,국내채권:negative:primary; 국내주식:positive:secondary,,,,,
00a9bb9158ec,반도체 vs 비반도체: KOSPI pt 기여도 계산,market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:neutral:primary,,,,,
d2e24f12ed6e,국내 주식 마감 시황 - 재료 소멸+매크로 압력+연휴 ..,market_info,KR,테크_AI_반도체,국내채권,국내주식,국내주식,국내주식,국내주식:negative:primary; 해외주식:positive:secondary,,,,,
4a9164f26ee8,국내주식 마감 시황 (26.04.30) - Big-Event Day 종료..,market_info,US,통화정책,해외채권,해외채권,해외주식,해외주식,해외주식:negative:primary; 해외채권:negative:secondary,rule_conflict,,,,
4745ce8c3d99,"국내 주식 마감 시황 - 두유 노 삼성전자, SK하이닉스..",market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary; 해외주식:positive:secondary,,,,,
d4645a9bd1fe,국내주식 마감 시황 (26.05.04) - 증권주에 온 특이점..,market_info,KR,테크_AI_반도체,해외채권,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
3246e9910158,국내 주식 마감 시황 - 버크셔·월마트 제친 삼성전자..,market_info,KR,테크_AI_반도체,해외채권,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
a3772bc66916,"국내주식 마감 시황 (26.05.09) - 설명할 시간도, 일..",market_info,KR,테크_AI_반도체,해외주식,국내주식,국내주식,국내주식,국내주식:positive:primary; 원자재금:positive:secondary,,,,,
522b52af8a43,국내 주식 마감 시황 - 짧은 휴식 후 개인 수급 박차..,market_info,KR,지정학,해외채권,원자재금,국내주식,국내주식,국내주식:positive:primary; 원자재금:negative:secondary,rule_conflict,,,,
a7a46f75c82d,국내주식 마감 시황 (26.05.06) - 온 세상이 전닉이다,market_info,GLOBAL,테크_AI_반도체,해외주식,해외주식,해외주식,해외주식,해외주식:positive:primary; 원자재금:positive:secondary,,,,,
38d7f9ef54fe,"[주식시황 위클리] 주간:知 - 삼성전자, SK하이닉스 ..",market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
c2c83b592f65,국내 주식 마감 시황 - 외국인 이틀째 투매에도 꾸역..,market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:neutral:primary,,,,,
9e237a785d9f,"[Morning Brief] 반도체주 쏠림, 미 증시 상승 마감",market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:neutral:primary,,,,,
595bcb747e79,"마켓레이더 - 돌고돌아 전닉, 8천피까지 단 1.9% (5월..",market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary; 환율(FX):neutral:secondary,,,,,
818a2d4b2cca,국내주식 마감 시황 (26.05.08) - ‘투톱’ 휴식에도 ..,market_info,US,테크_AI_반도체,해외주식,해외주식,해외주식,해외주식,해외주식:negative:primary,,,,,
b92aa9a4eea3,국내 주식 마감 시황 - 숨고를 틈 없는 반도체의 질주..,market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
bfe31822cfff,"[Morning Brief] 반도체 업종 견조한 흐름, 미 증시 ..",market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
a28c98a818fb,국내주식 마감 시황 (26.05.11) - 삼성전자 SK하이닉..,market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
cdf785499e86,국내 주식 마감 시황 - 차익실현 명분으로 작용한 대..,market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:negative:primary,,,,,
621e1fa87681,국내주식 마감 시황 (26.05.12) - 8천P 문턱에서 일단..,market_info,KR,테크_AI_반도체,해외주식,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
88b5c2fbe75f,국내 주식 마감 시황 - 무슨 일 있었냐는 듯 사상 최..,market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
afb9aebb6724,[Morning Brief] 양호한 반도체 및 빅테크 투심 속 미..,market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
02746c1e6141,국내주식 마감 시황 (26.05.13) - 어제 조정으로 망설..,market_info,KR,물가_인플레이션,해외주식,국내채권,국내주식,국내주식,국내주식:negative:primary; 원자재금:positive:secondary,rule_conflict,,,,
cb70d712f922,국내 주식 마감 시황 - 두 번째 두드리는 팔천피의 문..,market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
b54ef0c325d5,국내주식 마감 시황 (26.05.14) - 삼성전자 키맞추기..,market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary; 원자재금:neutral:secondary,,,,,
52e261db9c4c,[주식시황 위클리] 주간:知 - 삼성전자 파업 우려가 ..,market_info,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:primary,,,,,
