sample_id,theme,title,category,v1_primary_topic,llm_region,llm_sector,llm_primary_asset,rule_asset,v1_asset,hybrid_primary_asset,affected_assets,expect_hint,MANUAL_region,MANUAL_primary_asset,MANUAL_affected_assets,result,note
0,한국주식반도체,"5월 금통위 Review: 성장, 물가, 금융안정 모두 인상..",debenture,통화정책,KR,통화정책,국내채권,국내채권,국내채권,국내채권,국내채권:negative:0.92:primary; 국내주식:negative:0.75:secondary,국내주식,,,,,
1,한국주식반도체,국내 주식 마감 시황 - 버크셔·월마트 제친 삼성전자..,market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,해외채권,국내주식,국내주식:positive:0.95:primary; 원자재금:positive:0.70:secondary,국내주식,,,,,
2,한국주식반도체,"국내 주식 마감 시황 - 두유 노 삼성전자, SK하이닉스..",market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:0.95:primary,국내주식,,,,,
3,한국주식반도체,국내주식 마감 시황 (26.05.04) - 증권주에 온 특이점..,market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,해외채권,국내주식,국내주식:positive:0.95:primary,국내주식,,,,,
4,한국주식반도체,국내주식 마감 시황 (26.05.06) - 온 세상이 전닉이다,market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,해외주식,국내주식,국내주식:positive:0.95:primary; 원자재금:positive:0.72:secondary,국내주식,,,,,
5,미국주식Fed,[2026년 하반기 미중 주식시장 전망과 전략] 거인의 ..,invest,경기_소비,US,테크_AI_반도체,해외주식,해외주식,해외채권,해외주식,해외주식:positive:0.94:primary,해외주식,,,,,
6,미국주식Fed,"국내주식 마감 시황 (26.05.09) - 설명할 시간도, 일..",market_info,테크_AI_반도체,US,테크_AI_반도체,해외주식,해외주식,해외주식,해외주식,해외주식:positive:0.94:primary,해외주식,,,,,
7,미국주식Fed,"[주식시황 위클리] 주간:知 - 삼성전자, SK하이닉스 ..",market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:0.96:primary,해외주식,,,,,
8,미국주식Fed,Daily 신한생각 (5월 28일),market_info,테크_AI_반도체,GLOBAL,테크_AI_반도체,국내주식,해외주식,해외채권,국내주식,국내주식:positive:0.75:primary; 해외주식:neutral:0.65:secondary,해외주식,,,,,
9,한은국내채권,[5월 금통위] 수요측 인플레이션을 인정한 순간,debenture,금리_채권,KR,통화정책,국내채권,국내채권,국내채권,국내채권,국내채권:negative:0.94:primary,국내채권,,,,,
10,한은국내채권,"5월 금통위: 긴축의 터널, 생각보다 길어질 수 있다",debenture,통화정책,KR,통화정책,국내채권,국내채권,국내채권,국내채권,국내채권:negative:0.95:primary,국내채권,,,,,
11,한은국내채권,[금통위 리뷰] 7월 인상 시작,debenture,통화정책,KR,통화정책,국내채권,국내채권,국내채권,국내채권,국내채권:negative:0.95:primary,국내채권,,,,,
12,한은국내채권,"5월 금통위: 기준금리 동결했지만, 명확한 인상 시그..",debenture,통화정책,KR,통화정책,국내채권,국내채권,국내채권,국내채권,국내채권:negative:0.94:primary,국내채권,,,,,
13,FedUS금리,"26년 하반기 전망: 금리의 폭주, 누가 브레이크를 밟..",debenture,금리_채권,GLOBAL,금리_채권,해외채권,해외채권,해외채권,해외채권,해외채권:negative:0.93:primary; 원자재금:positive:0.85:secondary,해외채권,,,,,
14,FedUS금리,주간 금리·환율 전망,invest,금리_채권,KR,금리_채권,국내채권,국내채권,국내채권,국내채권,국내채권:negative:0.82:primary; 환율(FX):neutral:0.68:secondary,해외채권,,,,,
15,FedUS금리,"05/07, 미 증시, 미-이란 종전 기대감, AMD 서프라이..",invest,테크_AI_반도체,US,테크_AI_반도체,해외주식,해외주식,해외채권,해외주식,해외주식:positive:0.94:primary; 원자재금:positive:0.75:secondary,해외채권,,,,,
16,FedUS금리,"(Macro Snapshot) 예상 웃돈 미국 CPI, 다시 커진 인..",economy,물가_인플레이션,US,물가_인플레이션,해외채권,해외채권,해외채권,해외채권,해외채권:negative:0.92:primary,해외채권,,,,,
17,환율달러,2026년 하반기 전망 part2 - 달라진 시장 문법: 금리..,invest,금리_채권,GLOBAL,금리_채권,해외채권,해외채권,해외채권,해외채권,해외채권:neutral:0.82:primary; 원자재금:positive:0.85:secondary,환율(FX),,,,,
